Team A,Team B,Time,Result,State,Date,Channel
سيسي فرانكا,الأهلي,10:00,- - -,لم تبدأ,اليوم الثاني,Ontime sports 1
تشيجيانج جولدين بولز,نادي المنامة,14:00,- - -,لم تبدأ,اليوم الثاني,N/A
ألافيس,اتليتك بلباو,22:00,- - -,لم تبدأ,الأسبوع السادس,بى ان سبورت 1HD
الرياض,الفيحاء,18:00,- - -,لم تبدأ,الأسبوع السابع,N/A
الأخدود,الخليج,18:00,- - -,لم تبدأ,الأسبوع السابع,N/A
النصر,أهلي جدة,21:00,- - -,لم تبدأ,الأسبوع السابع,SSc SPORT
الوحدة,أبها,21:00,- - -,لم تبدأ,الأسبوع السابع,N/A
ساليرنيتانا,فروزينوني,19:30,- - -,لم تبدأ,الأسبوع الخامس,N/A
ليتشي,جنوى,21:45,- - -,لم تبدأ,الأسبوع الخامس,N/A
شتوتجارت,دارمشتات,21:30,- - -,لم تبدأ,الأسبوع الخامس,بى ان سبورت 5 HD
موناكو,نيس,22:00,- - -,لم تبدأ,الأسبوع السادس,بى ان سبورت 4 HD
غازي عنتاب بي.بي.كي,إسطنبول سبور,20:00,- - -,لم تبدأ,الأسبوع السادس,N/A
فاماليكاو,أروكا,22:15,- - -,لم تبدأ,الأسبوع السادس,N/A
